Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2017,06/04/2017,RACING INCIDENT,Belmont Park (NYRA),After finish,Racing,Thoroughbred,,Spun Copper,ABIGAIL C. ADSIT,DYLAN DAVIS,Spun Copper-Tr. Abigail Adsit-pulled up-ambulanced off-claim void-no injury reported-retired to New Vocations,
2017,06/02/2017,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,75* Clear,Midnight Bounty,ABIGAIL C. ADSIT,DYLAN DAVIS,Midnight Bounty-Tr. Abigail Adsit-pulled up-vanned off-no injury reported,
2020,10/05/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park/Ruffian,Other,Thoroughbred,70,Bustin scones,AMIRA ARERAS-CHICHAKLY,,10/05/2020 Horse Bustin Scones  Tr-Amira Chichakly  was Euthanized at Ruffian for Colic by Dr. Hackett.,
2019,11/02/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont TB,Training,Thoroughbred,pt cloudy  53,Kid Robin hood,ANDREW O. WILLIAMS,,Kid Robin Hood sustained an injury to LF Cannon Bone while galloping on the Belmont Training Track. Horse was euthanized due to extent of injury.,Euthanasia
2018,09/21/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,,Loose,ANTHONY W. DUTROW,JUNIOR R. ALVARADO,H-Loose (O/T: Anthony Dutrow) (R:  Junior Alvarado) pulled up in the stretch   taken back to barn in horse ambulance.  Found to have fractures in LF leg necessitating euthanasia.,Euthanasia
2017,06/03/2017,EQUINE DEATH,Belmont Park (NYRA),5/16 pole,Racing,Thoroughbred,75* Clear,Happy Match,ANTHONY W. DUTROW,MANUEL FRANCO,Happy Match-Tr. Anthony Dutrow-pulled up-splint applied-vanned off-fx LF sesamoids-euthanized,Equine Death
2019,06/16/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Backstretch,Other,Thoroughbred,sunny  warm,Ro Bear,ANTONIO C. AVILA,,ROBEAR - Tr. Antonio Avila - Horse died in the barn at Belmont Racetrack from an apparent impaction Colic.,
2017,10/18/2017,RACING INCIDENT,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,70* clear,Third Son,ANTONIO C. AVILA,JOEL ROSARIO,Third Son-Tr-A.C. Avila-pulled up inside the 1/16 pole-walked off the track under his own power.,
2018,09/08/2018,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,68,My Cousin Lou,ANTONIO G. ARRIAGA,ERIC CANCEL,Race 2:  My Cousin Lou (Tr: A. Arriaga; Ridden by Eric Cancel) was pulled up after the wire and taken off the track in the horse ambulance.,
2017,10/21/2017,EQUINE DEATH,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,72* Clear,Bourbonfurme,ARCHIBALD J. KINGSLEY JR,SHANNON K. USKE,Bourbonfuhrme-Tr-A.J. Kingsley-pulled up after finish-vanned off-xrays showed Fx LH Cannon bone-Euthanized,Equine Death
2018,10/19/2018,RACING INCIDENT,Belmont Park (NYRA),5/8 pole,Racing,Thoroughbred,48* Clear,Miss Juno,ARTHUR B. MAGNUSON,MICHAEL J. LUZZI,Miss Juno-Tr-A. Magnuson-pulled up right after the start of race-walked off the track under own power-no injury reported-retired,Steward's List
2016,12/10/2016,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,,Cyrstal Belle,ASSAF RONEN,,Crystal Belle-Tr. Assaf Ronen-sustained injury galloping-splint applied-ambulanced to barn-xray revealed fx LF both sesamoids-euthanized,Injury
2020,09/18/2020,RACING INJURY,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,Sunny,Bunker Hill,BARCLAY TAGG,DYLAN DAVIS,H-Bunker Hill  TR-Barkley Tagg  Jockey Dylan Davis  attempted to have horse vanned off  but subsequently walked off  the track own his own after the wire during the 6th race.  Injury to LF leg.,
2018,09/30/2018,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,Aqua Bel Sar,BISNATH PARBOO,,H-Aqua Bel Sar (Tr. Bisnath Parboo) collapsed in area of 1/16th pole while breezing on Belmont training track. Inv. Continues.,Equine Death
2018,04/06/2018,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,,Anchor,BRIAN A. LYNCH,,Anchor - Tr.Brian Lynch - Horse was found dead in stall-Enterotoxaemia,Equine Death
2019,05/11/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Widener Turf,Racing,Thoroughbred,,Noble Cause,BRUCE N. LEVINE,DYLAN DAVIS,NOBLE CAUSE (Tr: Bruce Levine;  J: Dylan Davis) was pulled up in the stretch transported to barn via horse ambulance.  Radiographs at barn revealed injuries necessitating euthanasia. Investigation to continue.,Euthanasia
2018,11/05/2018,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,,Buddy's Tiz,BRUCE N. LEVINE,,Buddy's Tiz (Tr: Bruce Levine  O: Kingfield Stable) collapsed and died around the 7/8 pole after breezing on the training track at Belmont.,Equine Death
2016,10/21/2016,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,65* Cloudy,Long Blooming Rose,BRUCE N. LEVINE,,Long Blooming Rose-Tr. Bruce Levine-cooled out lame back at the barn after breezing-suffered rupture LR suspensory-euthanized,Equine Death
2017,04/28/2017,EQUINE DEATH,Belmont Park (NYRA),Barn-40,Other,Thoroughbred,Cloudy,Rich N Tuck,BRUCE N. LEVINE,,Rich n Tuck-Tr. Bruce Levine-died in shedrow from a case of severe colic,
2017,02/26/2017,EQUINE DEATH,Belmont Park (NYRA),Barn #40,Other,Thoroughbred,,Fabulous Kid,BRUCE N. LEVINE,,Fabulous Kid-Tr. Bruce Levine-euthanized for severe Laminitis,Euthanasia
2017,06/17/2017,FALL OF RIDER,Belmont Park (NYRA),1/2 mile pole,Racing,Thoroughbred,Rain,Smart and Sassy,BRUCE N. LEVINE,JOSE L. ORTIZ,Smart and Sassy-Tr. Bruce Levine-took bad step just past 1/2 mile pole unseating jockey Jose Ortiz-no reported injuries to horse or rider,
2020,06/06/2020,FALL OF RIDER,Belmont Park (NYRA),Belmont Paddock,Other,Thoroughbred,,PLEBE,BRUCE N. LEVINE,MICHAEL J. LUZZI,Plebe Tr:B Levine J: M Luzzi Horse unseated rider in the paddock area horse sctrahed from race,
2016,06/19/2016,FALL OF RIDER,Belmont Park (NYRA),After Finish of Race,Racing,Thoroughbred,,Big East,BRUCE N. LEVINE,MANUEL FRANCO,Big East-Tr. Bruce Levine-unseated Jockey Manuel Franco-going over fallen horse-horse walked off track-no reported injury to Franco,Accident
